FREQ NFREQ=66 ORDER=DEC,ZROT,ZXXR ROT=ZROT,ZXXI ROT=ZROT,ZXX.VAR ROT=ZROT,ZXYR ROT=ZROT,ZXYI ROT=ZROT,ZXY.VAR ROT=ZROT,ZYXR ROT=ZROT,ZYXI ROT=ZROT,ZYX.VAR ROT=ZROT,ZYYR ROT=ZROT,ZYYI ROT=ZROT,ZYY.VAR ROT=ZROT,RHOXY ROT=NONE,RHOXY.ERR ROT=NONE,PHSXY ROT=NONE,PHSXY.ERR ROT=NONE,RHOYX ROT=NONE,RHOYX.ERR ROT=NONE,PHSYX ROT=NONE,PHSYX.ERR ROT=NONE,TXR.EXP ROT=ZROT,TXI.EXP ROT=ZROT,TXVAR.EXP ROT=ZROT,TYR.EXP ROT=ZROT,TYI.EXP ROT=ZROT,TYVAR.EXP ROT=ZROT
0.0549316,0.0,-0.511471,-0.455763,0.00567009,0.488715,1.19172,0.0177614,-5.08116,-4.00101,0.0554987,-2.40962,-1.44893,0.173849,6.04041,0.0898719,67.7019,5.93896,152.285,0.0316396,-141.782,2.08754,-0.924618,0.322093,0.00424978,-0.369981,0.259446,0.0133123
0.0439453,0.0,-0.496165,-0.397187,0.0067903,0.102926,0.523862,0.00795704,-4.24716,-4.10812,0.084736,-1.05237,-0.272875,0.0992959,1.29718,0.145127,78.8844,9.61831,158.902,0.04279,-135.953,2.82375,-0.658822,0.291968,0.00439632,-0.952286,0.33253,0.00515172
0.0366211,0.0,-0.984318,-0.828538,0.00287771,0.231232,1.30166,0.00505331,-6.63711,-7.01408,0.0359369,-2.64277,0.131658,0.0631059,9.54524,0.0467045,79.9268,3.08231,509.261,0.0170515,-133.418,1.12486,-0.177374,0.192693,0.0014951,-0.442345,0.0405731,0.00262542
0.0283813,0.0,-1.05771,-1.0297,0.00124473,0.393251,1.40364,0.00191663,-5.03237,-6.66957,0.0382884,-0.687761,3.10882,0.0589559,14.9737,0.0260866,74.349,1.72104,491.928,0.0203421,-127.036,1.34197,-0.044136,0.143559,0.00037268,-0.0501241,-0.0659294,0.000573848
0.0219727,0.0,-0.978735,-0.874358,0.00145957,0.191927,1.37186,0.00224276,-4.93052,-6.79536,0.0158589,-3.44377,-0.845877,0.0243687,17.4656,0.0296953,82.0359,1.95921,641.588,0.0130286,-125.964,0.859451,-0.116515,0.191357,0.000379316,-0.120069,-0.0335948,0.000582854
0.017395,0.0,-0.914424,-0.71184,0.00215476,0.0770079,1.13079,0.00159469,-4.11512,-6.07219,0.00886541,-3.27757,-1.65808,0.00656108,14.7699,0.0306032,86.1041,2.01913,618.633,0.0111494,-124.126,0.735478,-0.163917,0.182884,0.000695199,-0.157806,0.0199301,0.000514501
0.0137329,0.0,-0.794981,-0.677907,0.00203749,0.0425492,0.912481,0.00123485,-3.03909,-5.46185,0.0109478,-2.75471,-2.01865,0.00663508,12.1523,0.0334138,87.3302,2.20466,568.967,0.0145401,-119.093,0.959173,-0.184809,0.136453,0.000356599,-0.201198,0.0197747,0.000216122
0.0109863,0.0,-0.610041,-0.593226,0.00143486,0.0470813,0.75617,0.000909531,-2.28604,-4.7435,0.00634341,-2.14542,-2.07924,0.00402096,10.4495,0.0345751,86.4372,2.28132,504.751,0.0131379,-115.731,0.866664,-0.222602,0.109993,0.000382943,-0.200186,0.015773,0.00024274
0.00915527,0.0,-0.609051,-0.531251,0.00117788,0.0277179,0.604944,0.000914269,-1.68836,-4.17693,0.00328017,-1.70146,-1.97954,0.00254606,8.01125,0.0433691,87.3766,2.862,443.402,0.0110419,-112.009,0.728389,-0.243054,0.0818699,0.000282319,-0.214924,0.0085101,0.000219135
0.00709534,0.0,-0.52873,-0.532047,0.000732397,0.0284359,0.436917,0.000790062,-1.20422,-3.4303,0.00210523,-1.09817,-1.92628,0.00227099,5.4037,0.0557606,86.2763,3.68074,372.558,0.0109622,-109.344,0.723129,-0.251127,0.0207565,0.000126883,-0.224882,-0.035846,0.000136873
0.00549316,0.0,-0.509541,-0.406316,0.00161092,0.00601762,0.377927,0.00105953,-0.870028,-2.86648,0.00298367,-0.699261,-1.59736,0.0019624,5.20157,0.074801,89.0878,4.94031,326.722,0.0158381,-106.884,1.04481,-0.235733,-0.0231169,0.000250333,-0.204823,-0.0701293,0.000164648
0.00434875,0.0,-0.429016,-0.379004,0.00165929,0.0194948,0.273749,0.00159379,-0.62414,-2.2984,0.00190389,-0.410019,-1.34471,0.00182874,3.46391,0.126351,85.9266,8.36432,260.866,0.0159133,-105.193,1.04976,-0.229367,-0.0356584,0.000289964,-0.176534,-0.0893734,0.000278518
0.00343323,0.0,-0.416397,-0.317293,0.000589925,0.0151293,0.231527,0.000907711,-0.497332,-1.82029,0.000889917,-0.249755,-1.06714,0.00136931,3.13604,0.112787,86.2613,7.46101,207.432,0.0137314,-105.281,0.905818,-0.19953,-0.0610237,0.000121866,-0.155561,-0.117265,0.000187513
0.00274658,0.0,-0.364897,-0.285734,0.00140286,0.0255352,0.191123,0.00246384,-0.333602,-1.46697,0.00116705,-0.165003,-0.871662,0.00204969,2.70738,0.223596,82.39,14.9173,164.808,0.0197237,-102.812,1.30117,-0.184266,-0.0783487,0.000291526,-0.123324,-0.11507,0.000512006
0.00228882,0.0,-0.334631,-0.302547,0.0013994,0.00778059,0.140753,0.00206177,-0.320861,-1.26185,0.000560124,-0.16387,-0.681232,0.000825243,1.73643,0.279779,86.836,18.7904,148.13,0.0157886,-104.267,1.04154,-0.165265,-0.0781764,0.000178566,-0.0974732,-0.0897846,0.000263085
0.00177383,0.0,-0.295958,-0.305646,0.001387,0.0177922,0.0898583,0.0018412,-0.299797,-0.952292,0.000577801,-0.112439,-0.532293,0.000767011,0.946095,0.40687,78.8001,27.9322,112.382,0.0209128,-107.475,1.37963,-0.151543,-0.0812037,0.000141461,-0.0676653,-0.065321,0.000187785
0.00137329,0.0,-0.273288,-0.233983,0.00128504,-0.00246125,0.100227,0.00377267,-0.260908,-0.756479,0.000616262,-0.140776,-0.444578,0.00180924,1.46387,0.532135,91.4067,37.7808,93.2554,0.026946,-109.029,1.77775,-0.108902,-0.065432,9.452e-05,-0.0672183,-0.0480788,0.000277495
0.00108719,0.0,-0.221538,-0.235231,0.00159713,-0.013857,0.089078,0.00462656,-0.228868,-0.596973,0.000641723,-0.112412,-0.346893,0.00185894,1.49503,0.655361,98.8421,48.9828,75.1953,0.0344156,-110.976,2.27079,-0.0931186,-0.0517416,0.000190399,-0.0792338,-0.0326029,0.000551548
0.000858307,0.0,-0.182416,-0.198872,0.000982825,0.0542588,0.109953,0.00592648,-0.239571,-0.516391,0.000596968,-0.0788432,-0.327608,0.00359974,3.50313,0.545354,63.735,38.8926,75.5101,0.0372804,-114.888,2.45993,-0.0874117,-0.0276166,0.000149321,-0.111965,-0.0262865,0.000900412
0.000686646,0.0,-0.160873,-0.194365,0.00243709,0.114613,0.131701,0.0213911,-0.244457,-0.452973,0.000980003,-0.0428779,-0.273598,0.00860177,8.87836,0.727634,48.9685,56.9001,77.1705,0.0528264,-118.354,3.4868,-0.101001,-0.0199783,0.000185578,-0.0979016,-0.0775465,0.00162887
0.000572205,0.0,-0.160803,-0.117218,0.0011119,0.0342011,0.0852905,0.00411721,-0.254548,-0.361738,0.000808219,-0.11521,-0.1925,0.00299272,2.95145,0.606509,68.1494,44.2883,68.3843,0.0558264,-125.133,3.68509,-0.0921279,-0.0145125,0.000872485,-0.0512328,0.0162414,0.00323069
0.000443459,0.0,-0.104628,-0.134653,0.000319938,-0.0127465,0.122516,0.00664214,-0.192879,-0.301405,0.000227807,-0.186104,-0.178415,0.00472945,6.84288,0.574695,95.9397,41.4252,57.7495,0.0366364,-122.617,2.41741,-0.117267,0.00419056,0.00166488,-0.155528,-0.0298089,0.0345642
0.000343323,0.0,-0.094297,-0.164357,0.000240384,0.235318,0.0458014,0.00337342,-0.180081,-0.293127,4.91244e-05,-0.028924,-0.180659,0.000689386,33.4802,0.210436,11.0141,14.0207,68.9453,0.017696,-121.564,1.16738,-0.117722,0.0121889,0.00147517,-0.248799,-0.0336321,0.0207017
0.000271797,0.0,-0.095655,-0.104295,0.00216651,0.0127341,-0.032047,0.00677399,-0.179087,-0.23241,0.000653917,-0.121213,-0.16282,0.00204459,0.875039,2.07308,-68.3292,90.0,63.3459,0.0757023,-127.617,4.99998,-0.128213,-0.0268836,0.0041433,-0.0749853,-0.0747399,0.0129548
0.000214577,0.0,-0.0360813,-0.070187,0.00148499,-0.00253836,0.0444866,0.00518079,-0.201794,-0.192063,0.000105886,-0.122373,-0.0689187,0.000369411,1.85062,1.40306,93.2657,90.0,72.3369,0.0320832,-136.415,2.11682,-0.199851,0.0624314,0.0019932,-0.221763,0.0210619,0.00695381
