DEPTH,AC,CAL,CNL,DEN,GR,RT,RXO,SP
1681.5,63.989,9.269,9.795,2.469,94.738,79.311,73.652,381.144
1681.625,64.041,9.307,10.101,2.478,96.462,79.111,73.271,381.43
1681.75,64.185,9.374,10.244,2.503,99.95,79.596,73.323,381.275
1681.875,64.295,9.425,10.139,2.513,101.712,80.372,73.656,380.581
1682.0,64.396,9.476,9.984,2.516,102.099,81.725,74.358,379.679
1682.125,64.526,9.537,9.727,2.503,99.586,87.809,78.309,378.018
1682.25,64.558,9.54,9.677,2.498,98.113,94.342,82.999,377.502
1682.375,64.536,9.515,9.989,2.504,98.461,110.978,95.765,377.711
1682.5,64.478,9.482,10.453,2.516,100.406,125.986,107.716,378.114
1682.625,64.379,9.455,10.911,2.531,102.147,139.387,118.901,378.354
1682.75,64.219,9.475,11.198,2.548,101.224,151.021,129.084,378.031
1682.875,64.114,9.543,11.1,2.554,98.37,152.647,130.972,377.338
1683.0,63.93,9.631,10.733,2.563,94.15,150.004,129.86,375.743
1683.125,63.838,9.583,10.52,2.571,93.377,147.985,128.803,375.267
1683.25,63.75,9.456,10.256,2.58,91.826,144.877,127.041,375.239
1683.375,63.71,9.366,10.045,2.575,89.688,140.685,124.278,375.443
1683.5,63.74,9.375,9.995,2.555,88.756,136.144,120.855,375.727
1683.625,63.855,9.413,10.169,2.525,89.021,129.356,115.305,375.986
1683.75,64.068,9.415,10.609,2.497,89.683,120.048,107.346,376.174
1683.875,64.227,9.349,10.839,2.499,89.667,114.607,102.543,376.49
1684.0,64.506,9.201,10.743,2.513,88.532,104.699,93.897,377.536
1684.125,64.639,9.196,10.305,2.505,87.36,98.64,88.718,378.222
1684.25,64.805,9.276,9.457,2.473,85.616,90.35,81.608,378.826
1684.375,64.941,9.347,8.712,2.446,84.492,83.218,75.415,379.094
1684.5,65.01,9.333,8.465,2.447,84.547,79.938,72.503,379.082
